"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Gangbuk-gu","Household[Household]","Household","144431","144553","144805","145049","145315","145559","145630","145706","145790","145753","145739","145896","145934","145962","144410","144472","144545","144525","144563","144610","144573","144501","144569","144536","144529","144658","144725","144709","144866","145048","145198","145204","144577","144552","144415","144313","144275","144506","144557","144559","144577","144447","144427","144345","144269","143963","143796","143560","143411","143405","143338","143238","143175","143075","143059","143027","143163","143204","143105","143063","143035","143258","143249","143075","142885","142908","142730","142711","142545","142415","142260",
"Dobong-gu","Household[Household]","Household","138509","138607","138595","138724","138867","138966","138999","139015","139029","139015","139088","139114","138984","138974","138120","138160","138213","138387","138490","138495","138582","138655","138645","138656","138695","138748","138836","138879","138951","139076","139225","138975","138541","138521","138439","138356","138331","138384","138376","138314","138289","138188","138069","138102","138210","138223","138161","138261","138373","138626","138756","138829","138790","138849","138902","138846","138862","138795","138759","138759","138769","138876","139002","139017","138980","139006","138962","138977","139130","139131","139073",
"Nowon-gu","Household[Household]","Household","217054","217068","217148","217302","217579","217897","217918","217940","218002","217981","218015","218270","218213","218184","217272","217238","217201","217322","217310","217324","217269","217201","217215","217378","217660","218249","219065","219011","218955","218637","218652","218649","217952","217956","217860","217540","217160","217926","218341","218262","218187","217858","218003","218087","218367","218280","218106","217904","217446","218042","218665","218585","218529","218369","218265","218179","218362","218074","217971","217743","217328","217528","218325","218164","217893","217558","217153","216904","217252","217192","217013",
"Eunpyeong-gu","Household[Household]","Household","207824","208153","208209","208771","209456","210664","211862","212632","213039","213305","213636","213914","214099","214288","212725","212764","213270","213662","213889","214004","214181","214126","214494","214711","214827","215001","215178","215600","216169","216455","216671","216698","215225","214702","214243","213876","213924","214070","213989","213907","213830","213827","214175","215200","215776","215694","215700","215721","215799","216075","216340","216381","216412","216345","216249","216023","215784","215485","215203","215305","215398","215639","215655","215591","215545","215555","215610","215537","215129","214821","214493",
"Seodaemun-gu","Household[Household]","Household","140625","141279","142109","142559","142963","143323","143487","144024","144494","144546","144655","144838","144808","144891","143180","143087","143112","143226","143274","143521","143712","143723","143720","143647","143948","144717","145044","145246","145397","145517","145662","146054","145285","145325","145542","145797","146183","146908","147146","147183","147197","147226","147184","147271","147333","147074","146938","146845","146787","147225","147467","147508","147475","147312","147262","147166","147107","146735","146502","146221","145914","146303","146422","146263","146170","146121","146227","146331","146450","146337","146261",
"Mapo-gu","Household[Household]","Household","175282","175694","176133","176385","177230","177544","177770","178114","178495","178483","178417","178482","178543","178815","177170","177796","178245","178625","179007","179471","179541","179571","179657","179861","179969","180457","180702","180696","180978","181138","181340","181463","180085","179959","179892","180084","180302","180807","181034","180976","181093","181097","181163","181177","181192","181052","181058","181090","181156","181532","181745","181710","181641","181651","181755","181745","181686","181434","181281","181135","180980","181235","181157","181099","180925","180907","180739","180740","180703","180519","180334",
"Yangcheon-gu","Household[Household]","Household","177326","177425","177436","178257","179177","179677","179959","180185","180309","180410","180534","180633","180677","181363","180682","180783","180961","181012","181098","181191","181281","181434","181439","181404","181482","181603","181765","181921","181921","181987","182095","182220","181353","181370","181335","181187","181189","181177","181072","181057","181169","181210","181264","181139","181072","181038","180794","180695","180615","180685","180619","180585","180672","180679","180617","180629","180600","180500","180315","180209","180118","180148","180133","180143","180126","180103","180031","180011","179924","179859","179694",
"Gangseo-gu","Household[Household]","Household","263166","263413","263645","264111","264659","265252","265762","266197","266366","266606","266920","266982","267162","268129","267442","268133","268636","269276","269653","269976","270389","270623","270877","271175","271576","272216","272572","273025","273756","274301","274595","274551","273691","273776","273650","273697","273804","274186","274283","274428","274425","274521","274601","274426","274249","274032","274100","274084","274034","274285","274326","274226","274205","274010","273897","273913","274044","274222","274062","273911","273773","273745","273685","273515","273295","273259","273566","273536","273397","273372","273430",
"Guro-gu","Household[Household]","Household","176820","177120","177275","177432","177848","178367","178821","179392","179792","180012","180306","180531","180620","180861","180027","180042","180196","180258","180324","180322","180424","180541","180726","180929","181240","181612","181916","181966","182113","182172","182427","182464","181950","182789","183210","183655","183910","184142","184268","184388","184498","184546","184616","184484","184467","184272","184188","184096","184161","184226","184333","184234","184156","184097","184076","184064","184161","183958","183917","183891","183840","183935","183970","184093","184141","184446","184522","184557","184587","184528","184420",
"Geumcheon-gu","Household[Household]","Household","111000","111287","111542","111787","112244","112570","112734","113347","113887","114183","114442","114715","114955","115161","114402","114538","114949","115358","115910","116308","116545","116935","117326","117595","117935","118271","118697","118977","119315","119627","119809","119913","119587","119572","119561","119583","119672","119830","120051","120274","120423","120578","120628","120696","120650","120555","120312","120381","120610","120822","120985","121117","121188","121223","121238","121251","121224","121168","121056","121075","121026","121060","121136","121263","121318","121363","121333","121303","121441","121554","121577",
"Yeongdeungpo-gu","Household[Household]","Household","175237","176625","177743","178323","179007","179787","180574","181469","182087","182917","183790","184714","185331","185969","184133","184525","184824","185025","185467","186135","186360","186585","186774","187020","187375","187834","188193","188377","188506","188759","189037","189541","188768","188734","188756","188832","189396","189857","190252","190393","190437","190482","190531","190508","190761","190702","190604","190737","191005","191437","191709","191856","191913","192064","192168","192178","192189","191983","192241","192199","192170","192415","192568","192658","192688","192746","192709","192738","192641","192505","192438",
"Dongjak-gu","Household[Household]","Household","180862","181268","181761","182236","182962","183537","183870","184030","184193","184119","184132","184229","184098","184171","183579","183826","183959","183859","184175","184556","184825","184598","184775","184812","185059","185688","186419","186696","186948","187380","187656","187962","186966","186655","186197","185773","185659","186053","186534","186730","186980","187058","187112","187178","187199","186990","186818","186675","186473","186971","187417","187734","187712","187662","187629","187497","187461","187330","187193","186950","186838","187466","187750","187582","187543","187650","187496","187449","187337","187189","186951",
"Gwanak-gu","Household[Household]","Household","269072","269964","270760","271313","272524","273715","274381","275016","275248","274869","274841","274811","274910","275301","273736","273751","274141","274565","274975","275732","276182","276315","276400","276597","277135","278497","279353","279822","280657","281423","282141","283092","282806","283378","283538","283623","284025","285206","285914","286127","286538","286647","286569","286379","286045","285450","284786","284578","284877","285607","286257","286396","286401","286338","286403","286408","286376","286029","285766","285963","286279","287620","288132","288305","288372","288722","288846","288915","288964","288753","288666",
"Seocho-gu","Household[Household]","Household","173388","173635","173580","173561","173849","173998","174012","173827","173483","173283","173391","173502","173514","173414","172181","171947","171736","171574","171743","171860","171497","171083","170521","170244","170096","169979","169895","169740","169642","169518","169560","169217","168175","168146","168025","167749","167876","168173","168234","168238","168344","168590","168844","168924","169621","170040","170059","169884","170015","170285","170382","170348","170366","170464","170606","170806","170839","170868","170710","170681","170701","170782","170810","170787","170735","170798","171621","172526","172911","173127","173209",
"Gangnam-gu","Household[Household]","Household","233363","233849","233624","233363","233354","233484","233673","234024","234021","234588","234785","234872","234688","234776","233363","233203","232936","232707","232642","233815","234218","234533","234463","234233","234383","234634","234612","234607","234833","234885","235147","235409","233687","233474","233287","232777","232732","233325","234735","235708","236296","236935","237646","238500","238647","238712","238463","239775","241315","243061","243510","243741","244572","245046","245344","245932","246005","245910","245447","245094","244962","245076","245139","245008","244981","245092","245158","245444","245478","245450","245267",
"Songpa-gu","Household[Household]","Household","279137","279378","279301","279460","279817","280135","280769","281361","281417","281252","281433","281959","282125","282003","280237","280324","280635","280707","280881","281593","282018","282185","282296","282417","282940","284218","285106","285532","285939","286119","286381","286514","285175","285087","284952","284853","284928","285420","285489","285493","285615","285798","285951","286095","286123","286018","286016","285927","286180","286651","287052","287220","287320","287380","287418","287265","287511","287537","287435","287017","286796","286835","286911","286913","286760","286908","286820","286816","286836","286553","286158",
"Gangdong-gu","Household[Household]","Household","185222","187626","190019","191399","192334","193095","193525","193924","194602","195008","195334","196499","197452","199039","199088","199561","199931","200170","200595","200791","201205","201428","201521","201613","201765","201906","201926","202158","202489","202861","203087","203320","202325","202341","202283","202169","202309","202589","202637","202623","202725","202733","202804","202884","203120","203223","203463","203734","203950","204606","205071","205380","205658","205956","206631","207239","207384","207688","208850","212585","215368","218383","219979","220617","221076","221605","221905","222131","222289","222374","222344",
"Busan","Household[Household]","Household","1499152","1502333","1505897","1507504","1511199","1513956","1517200","1520321","1523122","1524888","1527721","1530431","1532700","1536242","1527830","1529794","1532053","1533514","1535294","1537395","1540342","1541975","1543438","1544663","1546414","1549967","1551767","1553032","1555326","1556938","1558052","1559462","1555449","1556293","1555836","1555867","1556086","1559593","1561008","1561666","1562595","1563362","1564252","1564900","1565115","1564546","1564199","1564588","1564763","1567409","1569084","1569293","1569954","1570212","1570545","1570760","1570953","1570658","1570556","1570403","1569695","1573020","1573392","1573173","1573175","1573451","1573702","1574235","1574726","1574190","1574085",
"Jung-gu","Household[Household]","Household","23189","23272","23305","23313","23406","23456","23544","23626","23682","23723","23773","23847","23923","24010","23951","24006","24022","23583","23714","23820","23878","23909","23898","23925","23979","24129","24218","24269","24303","24304","24275","24265","24107","24056","24012","23960","23965","24123","24099","24061","24066","24040","23983","23931","23874","23798","23766","23747","23729","23829","23824","23819","23772","23751","23735","23705","23694","23621","23564","23529","23509","23540","23526","23497","23420","23407","23392","23373","23349","23311","23270",
"Seo-gu","Household[Household]","Household","52735","52806","52792","52884","53072","53248","53340","53342","53359","53576","53724","53853","53881","53962","52876","53018","53115","53133","53159","53095","53097","53038","53019","52960","52853","52900","52895","52822","52852","53109","53342","53667","53621","53657","53648","53626","53592","53689","53670","53640","53593","53542","53519","53521","53510","53590","53657","53630","53521","53551","53534","53458","53394","53365","53344","53397","53580","53673","53622","53648","53584","53692","53679","53632","53623","53612","53572","53651","53610","53554","53501",
"Dong-gu","Household[Household]","Household","44734","44894","45356","45578","45755","45873","45954","45994","45985","45994","46003","46003","46081","46128","45786","45865","45918","45911","45930","45914","46046","46123","46243","46362","46597","46829","46938","46970","47024","47052","46982","47011","46553","46535","46402","46349","46322","46224","46196","46162","46152","46797","47279","47445","47503","47466","47471","47428","47383","47413","47389","47375","47354","47311","47275","47210","47120","47064","47057","47048","47040","47048","47000","46817","46646","46515","46465","46388","46340","46243","46205",
"Yeongdo-gu","Household[Household]","Household","54852","54824","54837","54812","54884","54866","54914","54870","54896","54876","54896","54903","54905","54936","54048","54141","54388","54568","54643","54681","54701","54721","54721","54659","54609","54560","54518","54478","54650","54700","54725","54711","54474","54440","54362","54342","54304","54322","54335","54299","54248","54218","54342","54409","54425","54373","54325","54293","54249","54309","54364","54312","54267","54167","54105","54052","53973","53837","53721","53659","53560","53587","53547","53498","53527","53491","53474","53425","53435","53401","53388",
"Busanjin-gu","Household[Household]","Household","166981","167266","167761","168189","168789","169203","169952","170624","171008","171637","172561","173263","173746","174327","172683","172771","172912","172864","172962","173084","173279","173300","173278","173353","173327","173496","173573","173947","174306","174624","175150","175696","175448","176765","177576","178049","178397","179307","179744","179949","180263","180383","180514","180664","181219","181565","181807","181914","182417","183261","183826","183993","184283","184639","184721","184796","184863","184557","184341","184179","184230","185673","186462","187118","187626","187901","188038","188228","188487","188583","188611",
"Dongnae-gu","Household[Household]","Household","112473","112724","113266","113547","113823","114058","114414","114527","114679","114739","114826","114987","115221","115476","114936","114977","115078","115173","115239","115276","115356","115301","115310","115718","117211","118748","119112","119227","119446","119772","120011","119984","119696","119629","119508","119503","119557","119887","119963","119980","120032","120060","120056","120076","119933","119841","119814","119706","119440","119497","119481","119528","119577","119755","119824","119850","119959","120971","121775","122121","122410","122713","122741","122779","122856","122910","122918","122949","122914","122831","122852",
"Nam-gu","Household[Household]","Household","117212","117208","117299","117167","117350","117429","117537","117649","117696","117685","117804","117876","117885","118052","117391","117426","117429","117410","117384","117494","117793","118005","117987","117821","117619","117815","118153","118406","118544","118480","118358","118468","118179","117964","117707","117601","117668","118209","118462","118556","118686","118673","118641","118641","118470","118390","118495","118427","118473","119141","119660","119893","119954","120102","120157","120126","120134","120050","119904","119763","119408","119872","119803","119662","119513","119382","119202","119175","119180","119086","118966",
"Buk-gu","Household[Household]","Household","120406","120435","120496","120449","120663","120694","120706","120652","120703","120604","120665","120668","120728","120741","120370","120807","121596","122023","122336","122676","122950","123090","123283","123316","123247","123263","123286","123330","123469","123579","123626","123788","123761","123831","123693","123569","123569","123568","123573","123532","123510","123558","123504","123417","123253","123164","123077","123082","123062","123020","123025","122975","123027","122992","122927","122867","122794","122603","122417","122360","122321","122303","122255","122221","122169","122132","122130","122101","122092","122066","121998",
"Haeundae-gu","Household[Household]","Household","168851","168916","169141","169357","169532","169825","170255","170290","170518","170815","171099","171376","171528","171770","171352","171558","171558","171791","171911","172076","172237","172349","172455","172397","172327","172279","172227","172217","172126","171960","172005","171837","170998","170828","170637","170435","170261","170331","170251","170185","170221","170143","170207","170087","170022","169820","169633","169532","169375","169282","169193","169165","169067","169102","169499","169707","169827","169697","169675","169821","169837","169886","169847","169768","169719","169720","169744","169707","169726","169614","169643",
"Saha-gu","Household[Household]","Household","138670","138770","138864","138813","138962","139108","139163","139139","139047","138879","138906","138854","138852","139159","138478","138475","138530","138589","138547","138893","139174","139393","139558","139604","139856","140385","140594","140807","140991","141003","141082","141176","140869","140904","140839","140778","140814","141291","141398","141450","141510","141455","141438","141279","141165","140951","140857","140764","140523","140577","140621","140503","140513","140424","140375","140252","140206","140404","140610","140631","140573","140789","140774","140681","140483","140379","140233","140157","140051","139930","139861",
"Geumjeong-gu","Household[Household]","Household","106857","107042","107184","107101","107313","107358","107273","107323","107383","107345","107491","107561","107415","107710","107184","107157","107158","107165","107360","107559","107990","108131","108257","108070","107737","107785","107916","107856","107900","107827","107729","107887","107535","107403","107061","106950","106606","106851","106954","106821","106809","106725","106693","106726","106616","106297","106121","105906","105465","105513","105729","105621","105706","105566","105390","105401","105363","105059","104956","104817","104496","105024","104987","104947","104876","104813","104791","104770","104801","104735","104674",
"Gangseo-gu","Household[Household]","Household","54087","54359","54611","54725","54994","55158","55314","55958","56828","57341","57690","58141","58512","58905","58879","59236","59598","59954","60289","60574","60878","61157","61397","61502","61711","61929","62135","62285","62530","62674","62758","62728","62645","62601","62497","62426","62358","62350","62376","62443","62466","62494","62482","62506","62513","62465","62354","62238","62153","62085","62113","62215","62312","62322","62463","62605","62617","62569","62457","62433","62436","62511","62512","62498","62948","63406","64022","64350","64545","64757","65034",
"Yeonje-gu","Household[Household]","Household","90601","90948","91106","91122","91287","91412","91608","92154","92418","92475","92535","92583","92694","92851","92104","92091","92100","92165","92192","92236","92451","92572","92850","93606","93890","94026","94091","94123","94182","94167","94147","94136","93840","93706","93581","93557","93490","93538","93650","93724","93852","93904","94064","94093","94338","94650","94760","95873","97257","97985","98268","98521","98715","98837","98999","99136","99274","99326","99440","99568","99571","99517","99396","99376","99205","99375","99416","99686","99957","100059","100129",
"Suyeong-gu","Household[Household]","Household","81608","82083","82334","82464","82670","82989","83207","83579","83906","83941","84049","84311","84460","84736","84569","84717","84790","84948","85083","85343","85573","85693","85830","85896","86014","86261","86445","86584","86829","86992","87128","87245","87065","87311","87360","87361","87487","87774","87985","88084","88211","88315","88385","88469","88357","88321","88285","88299","88195","88250","88285","88261","88266","88261","88287","88287","88281","88139","88095","88068","88118","88169","88096","87952","87886","87825","87811","87759","87781","87619","87624",
"Sasang-gu","Household[Household]","Household","96652","96781","96859","96924","97038","97113","97215","97274","97357","97343","97419","97556","97687","97946","97727","97841","98003","98179","98304","98305","98505","98616","98627","98621","98536","98603","98651","98618","98702","98741","98690","98694","98256","98135","98324","98625","98779","99040","99173","99293","99353","99364","99400","99813","100053","100043","99998","100003","99827","99966","100076","100051","100110","100047","99970","99870","99812","99707","99661","99563","99415","99548","99546","99406","99306","99166","98990","98914","98789","98699","98657",
"Gijang-gun","Household[Household]","Household","69244","70005","70686","71059","71661","72166","72804","73320","73657","73915","74280","74649","75182","75533","75496","75708","75858","76058","76241","76369","76434","76577","76725","76853","76901","76959","77015","77093","77472","77954","78044","78169","78402","78528","78629","78736","78917","79089","79179","79487","79623","79691","79745","79823","79864","79812","79779","79746","79694","79730","79696","79603","79637","79571","79474","79499","79456","79381","79261","79195","79187","79148","79221","79321","79372","79417","79504","79602","79669","79702","79672",
"Daegu","Household[Household]","Household","1032478","1033349","1037956","1041932","1044412","1046585","1048735","1050852","1052646","1053168","1054637","1056627","1058117","1059963","1060866","1061829","1061872","1059826","1060394","1061159","1062536","1062993","1063241","1063893","1064438","1065477","1068557","1069411","1070212","1070705","1071366","1072018","1070482","1070874","1070839","1070873","1071182","1072255","1073400","1074370","1075529","1076379","1091073","1091990","1092536","1092922","1093499","1094148","1094529","1095812","1097169","1098201","1099465","1100317","1101110","1101929","1102902","1103045","1103350","1104130","1104490","1107127","1107511","1107916","1108216","1108762","1109489","1110321","1111207","1111480","1111762",
"Jung-gu","Household[Household]","Household","38390","38412","38617","38767","38840","38954","39052","39154","39202","39131","39102","39111","39096","39055","38816","38699","38635","38368","38274","38189","38164","38354","38328","38370","38415","38485","38989","39913","40289","40377","40398","40349","40186","40414","40554","40749","41163","41518","42037","42325","42468","42582","43214","43650","43916","44197","44439","44871","45209","45516","45765","45964","46352","46666","46963","47259","47578","47940","48345","48786","48972","49296","49373","49423","49474","49716","49997","50104","50169","50249","50256",
"Dong-gu","Household[Household]","Household","152635","152565","153298","153829","154024","154372","154701","155175","155403","155385","155601","155865","156051","156467","157330","157572","157398","156866","156966","157069","157218","157655","158045","158423","158708","159020","159077","159221","159446","159570","159585","159541","159413","159551","159565","159422","159368","159365","159627","159865","160454","160720","161108","161740","162098","162298","162554","162691","162840","162923","162995","163393","163943","164334","164495","164783","164950","164867","164776","164806","164871","165112","165212","165276","165337","165418","165453","165536","165494","165434","165472",
"Seo-gu","Household[Household]","Household","82666","82650","82758","83078","83134","83194","83326","83412","83355","83310","83313","83437","83536","83630","83610","83568","83584","83089","82983","82935","82789","82669","82516","82301","82231","82132","82008","81771","81656","81622","81856","81854","81517","81411","81246","81116","81019","80960","80886","81175","81623","81819","81747","81679","82020","82606","83483","83949","84189","84366","84361","84251","84125","84068","83913","83813","84290","84448","84393","84268","84179","84099","83969","83855","83785","83700","83687","83848","84432","84802","84973",
"Nam-gu","Household[Household]","Household","74727","74901","75302","75633","75887","75989","76102","76250","76249","76178","76392","76582","76702","76836","76901","77118","77226","76594","76583","76531","76607","76518","76384","76256","76108","76102","76375","76195","76179","76153","76317","76424","76326","76458","76455","76401","76438","76575","76613","76715","76714","76592","76471","76349","76333","76207","76051","75887","75729","75685","75669","75443","75333","75300","75213","75101","75003","74794","74884","75203","75367","75632","75672","75653","75609","75650","75641","75615","75546","75433","75479",
"Buk-gu","Household[Household]","Household","180198","180295","181195","182025","182971","183825","184593","185222","186144","186612","186989","187494","187741","188089","188447","188800","188832","188730","188937","189208","189803","189829","190304","190956","191251","191571","193063","193046","193185","193026","192883","192947","192708","192692","192785","192697","192331","192326","192368","192193","192245","192580","192659","192586","192326","192066","191653","191349","190928","190852","191094","191340","191764","191989","192068","192178","192154","192000","191941","191797","191556","192207","192204","192246","192392","192482","192532","192758","193019","193046","193019",
"Suseong-gu","Household[Household]","Household","167410","167699","168568","169075","169335","169580","169826","170106","170239","170400","170609","170870","171145","171457","171462","171479","171310","171025","171224","171489","171605","171473","171298","171239","171288","171549","171789","171998","172201","172281","172297","172244","171895","171782","171546","171480","171479","171571","171509","171471","171335","171299","171298","171331","171306","171334","171619","171939","172450","173144","173419","173616","173752","173764","173900","174048","174262","174436","174536","174674","174897","175512","175663","175818","175934","176034","176147","176301","176458","176484","176545",
"Dalseo-gu","Household[Household]","Household","232360","232658","233631","234454","234797","234982","235148","235153","235384","235189","235224","235303","235490","235649","235439","235435","235532","235588","235545","235425","235505","235328","235032","234950","234907","235076","235374","235134","234979","235090","235359","235828","235612","235591","235564","235883","236185","236709","236967","236971","236794","236791","236819","236834","236717","236483","235997","235685","235455","235622","236211","236632","236719","236806","237204","237490","237522","237456","237436","237415","237488","238129","238239","238412","238440","238540","238711","238829","238800","238758","238628",
"Dalseong-gun","Household[Household]","Household","104092","104169","104587","105071","105424","105689","105987","106380","106670","106963","107407","107965","108356","108780","108861","109158","109355","109566","109882","110313","110845","111167","111334","111398","111530","111542","111882","112133","112277","112586","112671","112831","112825","112975","113124","113125","113199","113231","113393","113655","113896","113996","114071","114159","114169","114105","114097","114189","114163","114161","114126","114041","113962","113883","113872","113795","113684","113678","113647","113777","113775","113746","113761","113809","113819","113784","113879","113898","113853","113848","113949",
"Gunwi-gun","Household[Household]","Household","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13686","13662","13651","13626","13606","13588","13566","13543","13529","13521","13515","13507","13482","13462","13459","13426","13392","13404","13385","13394","13418","13424","13426","13438","13442","13432","13436","13426","13441",
